Date,VarBKM,ERP,ERP_L1,LB,RV_monthly,VRP_monthly,VWVS,OWVS,ID
1996-01-10,0.15284336308064925,4.8908744,,0.14508576,0.10778914,0.045054223080649256,10.431852639999999,9.60041048,2.5062434000000002
1996-01-17,0.14983150419013275,8.595423199999999,4.8908744,0.14309703999999998,0.12072304000004988,0.029108464190082877,9.6521179,6.6206941200000005,2.6535395999999998
1996-01-24,0.12658660003525465,9.988346,8.595423199999999,0.12158286000000001,0.11636548000004988,0.010221120035204773,7.0754429,7.607938439999999,2.7618234
1996-01-31,0.11042229108010145,8.5169324,9.988346,0.10635447999999999,0.12635677000004988,-0.015934478919948446,7.934996399999999,7.192663460000001,2.8280415999999997
1996-02-07,0.13582424427713685,3.2280671999999995,8.5169324,0.1292548,0.10880033000004992,0.027023914277086936,8.8632192,9.107735120000001,2.8274700000000004
1996-02-14,0.16866618221796234,-4.6228716,3.2280671999999995,0.16057950000000001,0.09869462999999999,0.06997155221796234,7.666488320000001,7.635820239999999,2.6706642
1996-02-21,0.186133357587463,-2.4017464000000004,-4.6228716,0.17902625,0.09629819,0.089835167587463,6.3652878,6.290451775,2.5275125
1996-02-28,0.18596554912098134,4.3434552,-2.4017464000000004,0.17870856000000002,0.1462641,0.03970144912098133,7.6809498000000005,7.364493080000001,2.5590957999999997
1996-03-06,0.20517761875971607,-8.3228192,4.3434552,0.19662892,0.1889171,0.01626051875971608,6.695755119999999,6.203089660000001,2.5784202
1996-03-13,0.2756276240518361,6.665255599999999,-8.3228192,0.25789177999999996,0.32461429999999997,-0.048986675948163846,5.5113617999999995,5.80331346,2.536598
1996-03-20,0.2357187054966347,-1.0046176,6.665255599999999,0.22482948,0.3459238999999999,-0.11020519450336518,6.1364572399999995,5.9417215599999995,2.4851864
1996-03-27,0.24128632138607042,3.9277375999999995,-1.0046176,0.22832946,0.3131275,-0.07184117861392955,8.82034792,8.8036297,2.481966
1996-04-03,0.23518968661414585,-14.340257599999997,3.9277375999999995,0.22153796,0.26463590000000003,-0.029446213385854198,9.57132576,9.91370428,2.4868257999999996
1996-04-10,0.26340944806999184,4.8235144,-14.340257599999997,0.242942975,0.16144540000000002,0.1019640480699918,11.243892125,10.5382746,2.4782975
1996-04-17,0.23578958071850992,5.0511712,4.8235144,0.22148865999999998,0.15787690000000001,0.07791268071850992,9.38387888,9.061672540000002,2.4706004
1996-04-24,0.1840466472010495,2.6179212,5.0511712,0.17361842,0.1371831,0.046863547201049495,9.54555272,8.275475740000001,2.4266074
1996-05-01,0.18517929515494952,-6.3862255999999995,2.6179212,0.17422676000000004,0.1265716,0.058607695154949506,9.5811225,8.98420016,2.3907614
1996-05-08,0.2199729727908187,12.398261600000001,-6.3862255999999995,0.20556562,0.14821710000000002,0.07175587279081867,8.82505946,9.165142600000001,2.3296751999999996
1996-05-15,0.18831921879341398,7.5640576,12.398261600000001,0.17726109999999998,0.11852995000000002,0.06978926879341395,7.31624966,7.77311606,2.3144232000000002
1996-05-22,0.18839914258641036,-6.4224504,7.5640576,0.17793296,0.11857795,0.06982119258641035,7.79850546,7.35567332,2.2896726
1996-05-29,0.20897191437764698,6.04492,-6.4224504,0.19796895,0.12470415000000001,0.08426776437764696,8.491479025,8.333243625,2.168111
1996-06-05,0.20840065645020547,-5.6020427999999995,6.04492,0.19624261999999998,0.11350923,0.09489142645020547,10.3938354,10.270184279999999,2.1382541999999995
1996-06-12,0.22119908399542426,-4.7059192,-5.6020427999999995,0.20856935999999998,0.1468902,0.07430888399542425,9.25107174,8.729331879999998,2.1169212
1996-06-19,0.23702495856339575,1.1433148,-4.7059192,0.22498626000000002,0.13969930000000003,0.09732565856339574,6.98803048,6.60783184,2.1097878
1996-06-26,0.19434662422623483,4.5056064,1.1433148,0.1866377,0.1365771,0.057769524226234825,7.2635769,6.82040822,2.0742882000000002
1996-07-03,0.1529604988166268,-10.151707600000002,4.5056064,0.14789412,0.11751091999999995,0.03544957881662684,7.11490932,7.39997272,2.0329364
1996-07-10,0.1906110476910436,-13.978692799999997,-10.151707600000002,0.18464425,0.09726203,0.0933490176910436,6.1671926500000005,7.570499975000001,2.04138975
1996-07-17,0.273356764662166,-4.8863556,-13.978692799999997,0.25893166,0.25091393,0.022442834662166025,8.82927222,9.11689998,2.0100864000000005
1996-07-24,0.29491051203602264,8.0266676,-4.8863556,0.27609534,0.31303243,-0.01812191796397738,8.4821369,8.5171619,2.0352455999999997
1996-07-31,0.29660128710050027,14.7647308,8.0266676,0.27363526,0.3366074,-0.040006112899499756,9.94831008,9.1976719,2.0567462
1996-08-07,0.23034279205501798,-1.2844659999999999,14.7647308,0.21383486000000002,0.336340269,-0.10599747694498207,8.415675559999999,8.11093122,2.0380567999999997
1996-08-14,0.19716080477607595,1.537614,-1.2844659999999999,0.18651536,0.288142972,-0.09098216722392403,8.06729008,8.0473814,2.0679294
1996-08-21,0.17201326305238115,-0.3817648,1.537614,0.16375688,0.140917488,0.031095775052381168,7.77997556,8.3180498,2.0834105999999997
1996-08-28,0.16911256686482481,-5.9406951999999995,-0.3817648,0.16000814000000002,0.08482601800000002,0.08428654886482481,7.942787160000001,8.18718756,2.1388648
1996-09-04,0.24100273381171033,6.762480400000001,-5.9406951999999995,0.22447589999999998,0.069936419,0.17106631481171033,10.43718265,10.36670155,2.1485492500000003
1996-09-11,0.23450146383499162,8.4830916,6.762480400000001,0.21828308,0.07146351599999999,0.16303794783499162,9.14424498,9.397331300000001,2.1576117999999997
