,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
318,10.0,28.0,23.2,0.558,0.0,0.667,20.4,16.1,18.2,0.0,1.8,9.5,14.7,21.8,0.1,0.0,0.1,0.177,-4.1,-1.4,-5.4,0.0
319,74.0,1096.0,12.9,0.614,0.008,0.523,13.7,17.0,15.4,6.9,1.7,3.2,24.4,15.6,1.0,1.4,2.4,0.104,-1.7,1.7,-0.1,0.5
320,72.0,1398.0,9.1,0.525,0.391,0.124,0.8,8.4,4.7,10.1,1.1,0.6,10.2,17.3,0.1,0.8,0.9,0.029,-2.2,-2.0,-4.2,-0.8
321,34.0,242.0,7.7,0.422,0.389,0.148,4.0,24.2,13.9,10.7,0.6,0.0,10.8,23.6,-0.4,0.3,-0.2,-0.033,-5.9,-2.4,-8.3,-0.4
322,51.0,1303.0,24.1,0.578,0.004,0.33,14.2,36.9,25.6,6.8,1.4,5.8,12.8,24.4,2.2,3.0,5.2,0.19,-2.1,2.4,0.2,0.7
323,75.0,2561.0,16.0,0.542,0.272,0.262,3.2,17.2,10.0,10.0,1.0,0.5,8.2,25.2,2.1,1.9,4.0,0.075,-0.6,-1.2,-1.8,0.1
324,31.0,182.0,10.5,0.543,0.689,0.378,9.2,15.4,12.4,11.1,0.6,0.9,17.3,15.6,0.1,0.2,0.4,0.101,-1.1,-0.4,-1.5,0.0
325,47.0,951.0,20.2,0.586,0.0,0.303,11.8,25.2,18.4,16.8,2.0,1.7,17.9,22.4,1.3,1.4,2.7,0.134,-0.5,1.9,1.3,0.8
326,75.0,1281.0,14.2,0.536,0.147,0.266,8.8,22.2,15.4,7.6,1.7,2.5,12.4,16.2,1.3,1.2,2.5,0.096,-1.3,0.6,-0.7,0.4
327,1.0,5.0,7.4,0.5,0.5,0.0,0.0,21.6,11.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.057,-5.9,-6.0,-11.9,0.0
328,73.0,2324.0,16.8,0.544,0.281,0.255,2.6,12.0,7.3,25.4,1.3,0.4,12.1,25.8,3.0,2.4,5.4,0.111,1.2,-1.1,0.1,1.2
329,19.0,241.0,8.9,0.443,0.322,0.119,3.8,8.4,6.1,7.2,2.3,0.4,3.1,11.9,0.1,0.2,0.3,0.058,-2.4,-0.4,-2.7,0.0
330,73.0,2698.0,27.7,0.603,0.099,0.465,6.8,25.1,16.0,23.7,1.9,3.3,11.6,31.3,8.6,3.5,12.1,0.214,4.2,1.8,5.9,5.4
331,7.0,64.0,7.4,0.53,0.833,0.111,1.7,10.7,6.1,6.7,1.6,0.0,9.6,14.8,0.0,0.0,0.1,0.043,-1.7,-1.8,-3.5,0.0
332,37.0,825.0,14.0,0.558,0.721,0.146,1.9,14.0,8.0,4.4,1.4,1.3,5.2,21.7,1.0,0.9,1.9,0.112,0.6,-2.3,-1.8,0.1
333,16.0,118.0,10.7,0.415,0.0,0.0,11.1,24.3,17.4,11.5,0.9,4.8,16.3,18.6,-0.2,0.1,0.0,-0.02,-6.3,1.3,-5.1,-0.1
334,7.0,18.0,15.0,0.394,0.375,0.25,12.8,18.8,15.8,26.7,5.6,0.0,18.4,27.3,0.0,0.0,0.0,0.008,-2.0,3.5,1.5,0.0
335,65.0,1783.0,13.2,0.581,0.399,0.273,2.6,8.9,5.7,14.9,1.6,1.3,13.2,16.4,2.3,0.8,3.1,0.083,0.3,-1.0,-0.7,0.6
336,19.0,149.0,7.6,0.414,0.319,0.064,6.1,11.7,8.9,12.4,1.0,1.7,5.8,15.3,0.0,0.1,0.1,0.021,-3.4,-1.7,-5.2,-0.1
337,65.0,2265.0,16.6,0.599,0.436,0.175,1.8,6.8,4.3,13.1,2.6,0.6,11.0,20.6,3.9,1.4,5.4,0.113,2.5,-1.6,1.0,1.7
338,65.0,1615.0,10.2,0.536,0.477,0.164,1.5,9.6,5.4,11.2,1.8,1.6,13.4,16.4,0.3,0.8,1.1,0.033,-1.3,-0.7,-2.0,0.0
339,12.0,69.0,6.5,0.446,0.625,0.167,3.3,13.6,8.6,6.0,1.4,1.2,7.2,17.2,0.0,0.1,0.0,0.034,-3.7,-1.6,-5.3,-0.1
340,73.0,1478.0,16.2,0.562,0.478,0.184,1.9,11.7,6.9,22.6,2.2,1.0,10.7,19.1,2.9,1.9,4.7,0.154,2.1,0.0,2.2,1.6
341,74.0,1566.0,6.5,0.429,0.313,0.15,2.3,9.2,5.8,19.8,1.9,0.9,20.5,17.0,-2.1,1.0,-1.2,-0.036,-3.9,-0.5,-4.4,-0.9
342,51.0,972.0,13.1,0.479,0.224,0.301,3.4,12.1,7.5,22.8,1.8,1.0,12.7,22.5,0.1,0.5,0.6,0.028,-1.8,-1.5,-3.3,-0.3
343,76.0,1755.0,14.0,0.542,0.38,0.281,2.7,14.4,8.4,10.8,1.0,0.9,7.9,20.3,2.0,1.3,3.2,0.089,0.0,-1.2,-1.2,0.4
344,75.0,1910.0,9.9,0.519,0.224,0.195,1.7,11.5,6.6,12.4,1.0,1.1,13.5,15.7,0.6,1.8,2.4,0.06,-2.4,0.3,-2.1,0.0
345,57.0,1837.0,15.6,0.577,0.418,0.216,1.4,9.5,5.4,14.8,1.3,0.7,9.8,23.3,2.5,0.9,3.4,0.089,1.6,-2.1,-0.4,0.7
346,78.0,2468.0,11.9,0.587,0.364,0.079,2.5,7.5,5.1,10.0,1.5,0.4,10.7,16.2,2.4,1.5,3.9,0.075,0.5,-0.8,-0.4,1.0
347,65.0,1627.0,14.5,0.555,0.414,0.216,7.6,17.5,12.6,7.6,1.7,1.2,9.7,18.4,1.9,1.7,3.6,0.106,0.0,-0.2,-0.2,0.7
