,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
429,75.0,2413.0,12.7,0.502,0.404,0.162,2.9,17.8,10.1,6.4,0.9,1.8,7.4,23.3,1.1,2.4,3.5,0.069,-2.0,-2.0,-3.9,-1.2
430,68.0,1781.0,14.2,0.523,0.335,0.258,3.1,12.1,7.6,26.0,2.0,0.9,15.6,22.6,0.7,1.4,2.1,0.056,-0.3,-0.3,-0.5,0.7
431,21.0,476.0,14.0,0.494,0.429,0.079,3.3,9.5,6.3,28.9,2.2,1.7,13.3,19.3,0.3,0.4,0.6,0.065,-0.2,-0.6,-0.8,0.1
432,24.0,165.0,7.1,0.41,0.148,0.241,10.1,20.3,15.2,12.2,1.5,1.5,19.0,19.6,-0.3,0.2,0.0,-0.01,-5.7,0.9,-4.8,-0.1
433,66.0,1251.0,13.2,0.55,0.764,0.154,1.6,10.9,6.3,5.7,1.4,1.2,5.7,22.1,1.4,1.3,2.8,0.106,1.9,-2.4,-0.5,0.5
434,77.0,2780.0,17.4,0.544,0.319,0.168,1.9,9.9,5.9,16.0,1.3,1.0,8.5,26.4,4.0,2.7,6.7,0.115,1.7,-1.1,0.6,1.9
435,77.0,1930.0,16.0,0.558,0.442,0.09,2.8,15.1,8.7,12.3,2.0,1.0,11.2,24.3,1.2,1.3,2.6,0.064,1.1,-1.6,-0.5,0.7
436,77.0,1462.0,9.1,0.523,0.457,0.141,0.8,7.3,4.1,8.1,0.9,0.1,6.8,16.7,0.7,1.3,2.0,0.065,-1.3,-1.8,-3.1,-0.4
437,11.0,99.0,8.5,0.398,0.567,0.2,7.7,15.6,11.5,6.9,1.5,3.8,10.9,16.6,-0.1,0.1,0.0,-0.012,-4.1,-0.2,-4.3,-0.1
438,70.0,1657.0,16.6,0.558,0.408,0.201,4.7,13.1,8.9,11.7,0.9,4.7,10.3,23.5,1.8,1.9,3.7,0.106,0.4,0.2,0.6,1.1
439,18.0,98.0,18.2,0.486,0.024,0.119,10.4,25.4,17.9,3.4,4.5,5.5,10.2,22.3,0.0,0.2,0.2,0.085,-4.9,2.2,-2.7,0.0
440,18.0,237.0,10.1,0.527,0.256,0.233,3.8,13.1,8.4,13.1,3.8,1.9,24.0,11.7,0.0,0.4,0.4,0.072,-3.3,2.9,-0.4,0.1
441,61.0,558.0,7.2,0.493,0.43,0.339,1.2,12.2,6.7,9.2,2.3,1.0,16.8,13.4,-0.3,0.8,0.5,0.043,-3.8,1.1,-2.7,-0.1
442,11.0,156.0,14.0,0.51,0.52,0.18,2.3,13.5,7.9,30.3,1.6,2.2,18.2,19.2,0.1,0.1,0.2,0.066,-1.1,-1.8,-2.9,0.0
443,59.0,1975.0,13.9,0.536,0.138,0.371,3.1,13.8,8.5,17.6,1.1,1.8,14.4,22.2,1.0,1.8,2.8,0.068,-1.6,0.3,-1.3,0.3
444,28.0,381.0,19.0,0.596,0.0,0.324,9.8,19.3,14.4,5.6,1.7,6.4,6.4,14.7,0.8,0.5,1.3,0.165,-1.3,2.3,1.0,0.3
445,78.0,2819.0,18.7,0.566,0.357,0.245,2.3,11.4,6.9,21.2,1.7,1.1,11.6,27.8,4.3,2.4,6.7,0.113,2.8,-1.0,1.9,2.7
446,77.0,2386.0,13.8,0.603,0.454,0.244,1.4,10.9,6.2,7.1,1.1,0.3,10.2,18.9,3.6,1.6,5.1,0.103,1.1,-1.9,-0.8,0.7
447,75.0,2089.0,13.8,0.564,0.426,0.161,1.5,10.7,5.9,18.3,1.7,0.7,13.1,19.6,2.0,0.9,2.9,0.067,0.7,-1.6,-0.9,0.6
448,69.0,1553.0,20.0,0.548,0.28,0.199,10.3,22.3,16.1,13.6,1.5,1.1,9.9,26.0,2.2,1.4,3.6,0.111,1.4,-0.7,0.7,1.1
449,20.0,115.0,5.4,0.425,0.69,0.034,0.0,6.8,3.4,14.9,1.7,0.0,13.3,26.0,-0.3,0.1,-0.2,-0.08,-5.0,-4.3,-9.3,-0.2
450,35.0,286.0,25.1,0.611,0.0,0.621,13.9,29.8,21.7,12.5,1.5,3.3,16.0,28.8,0.8,0.5,1.2,0.208,-0.5,0.6,0.1,0.2
451,58.0,1970.0,19.6,0.544,0.323,0.331,4.1,19.8,11.9,28.1,1.0,0.8,12.6,28.9,3.2,1.9,5.0,0.123,2.8,0.0,2.8,2.4
452,78.0,1428.0,13.9,0.556,0.003,0.455,10.7,23.9,17.3,6.4,0.7,5.0,17.4,14.5,1.1,1.7,2.8,0.093,-3.7,2.1,-1.5,0.2
453,77.0,2614.0,19.8,0.555,0.012,0.335,5.9,19.3,12.8,37.4,2.4,2.1,19.3,22.2,4.0,4.7,8.7,0.159,0.9,3.5,4.4,4.2
454,52.0,968.0,9.2,0.517,0.424,0.166,3.6,11.4,7.4,7.5,1.9,1.4,14.0,19.5,-0.4,0.7,0.3,0.013,-2.6,-1.3,-3.9,-0.5
455,66.0,1324.0,15.6,0.564,0.021,0.526,9.7,21.7,15.7,11.2,1.2,2.6,13.6,15.9,2.1,1.9,4.1,0.147,-1.7,2.0,0.3,0.8
456,46.0,1433.0,9.7,0.496,0.325,0.131,1.7,7.3,4.5,10.4,1.8,0.5,13.3,23.5,-1.4,1.3,-0.1,-0.005,-2.8,-1.3,-4.1,-0.8
457,58.0,1965.0,12.9,0.531,0.445,0.193,1.5,6.3,4.0,17.1,1.8,0.7,10.8,20.7,1.5,1.1,2.6,0.064,1.0,-1.4,-0.4,0.8
458,51.0,657.0,5.5,0.508,0.425,0.17,0.7,10.5,5.5,6.2,0.3,1.1,11.3,12.4,-0.1,0.2,0.1,0.006,-4.3,-1.7,-6.0,-0.7
459,77.0,1402.0,11.7,0.506,0.037,0.187,9.1,22.3,15.8,9.4,0.7,2.8,14.6,16.4,0.4,2.4,2.8,0.097,-4.0,2.2,-1.8,0.1
460,14.0,93.0,5.4,0.402,0.125,0.375,2.3,12.2,7.2,2.9,3.2,4.8,17.7,11.0,-0.2,0.1,0.0,-0.001,-7.5,3.8,-3.7,0.0
461,75.0,1624.0,13.5,0.652,0.777,0.278,3.1,12.6,7.7,7.5,0.9,1.1,9.8,14.7,3.4,1.5,4.8,0.142,2.0,-0.7,1.2,1.3
462,71.0,2582.0,28.9,0.615,0.113,0.406,7.8,24.9,16.6,10.8,2.0,5.5,8.7,29.8,8.5,4.5,13.0,0.241,3.0,2.3,5.3,4.7
463,30.0,186.0,23.2,0.737,0.0,0.351,13.5,18.4,16.0,4.4,0.3,6.0,13.2,18.1,0.7,0.2,0.8,0.219,1.0,-0.6,0.4,0.1
464,78.0,2832.0,13.2,0.509,0.26,0.244,3.0,10.7,6.8,8.0,1.5,1.5,8.9,23.6,0.5,1.4,1.9,0.032,-1.0,-1.5,-2.6,-0.4
465,56.0,1326.0,12.7,0.534,0.331,0.371,2.0,9.7,5.7,21.4,1.5,1.8,14.0,19.7,1.0,0.8,1.8,0.064,-0.9,-1.4,-2.3,-0.1
466,23.0,216.0,10.9,0.696,0.0,0.08,12.9,25.5,19.3,9.1,0.9,4.9,42.3,8.8,0.1,0.3,0.4,0.094,-3.6,3.6,0.0,0.1
467,39.0,1037.0,10.9,0.543,0.222,0.235,7.7,12.2,9.9,6.0,2.2,3.1,14.4,8.6,0.8,1.3,2.1,0.099,-1.4,2.8,1.4,0.9
468,63.0,1601.0,11.3,0.539,0.36,0.277,3.8,12.5,8.5,16.0,1.6,1.9,16.0,11.5,1.6,1.7,3.3,0.098,-0.7,1.0,0.4,1.0
469,76.0,2541.0,23.0,0.556,0.011,0.453,16.5,36.6,26.3,14.3,2.2,4.3,16.0,21.2,4.4,5.6,10.1,0.19,0.2,5.3,5.5,4.8
470,70.0,1094.0,14.2,0.563,0.123,0.353,11.7,18.3,15.1,13.3,1.9,3.3,16.6,12.7,1.7,1.9,3.6,0.158,-0.6,3.3,2.7,1.3
471,71.0,2085.0,11.1,0.54,0.634,0.155,1.3,14.3,7.7,7.9,1.0,1.1,8.4,18.6,1.0,1.3,2.2,0.051,-0.3,-1.2,-1.5,0.3
472,13.0,49.0,9.2,0.663,0.615,0.231,0.0,13.5,6.9,2.9,1.0,1.6,17.3,15.5,0.0,0.1,0.1,0.076,-1.8,-1.5,-3.3,0.0
473,65.0,1950.0,12.4,0.529,0.586,0.144,5.1,22.3,13.8,5.8,1.9,1.5,10.7,14.9,1.2,3.0,4.2,0.103,-0.5,1.7,1.2,1.6
474,24.0,101.0,8.5,0.52,0.44,0.0,7.9,11.1,9.5,2.7,1.5,0.9,7.4,11.9,0.1,0.1,0.2,0.078,-1.8,-1.6,-3.5,0.0
475,66.0,1324.0,19.4,0.615,0.003,0.638,13.4,27.2,20.1,8.5,1.0,3.7,14.2,16.6,3.0,1.2,4.3,0.155,-0.5,1.3,0.8,0.9
476,73.0,1095.0,9.1,0.573,0.755,0.145,2.3,8.8,5.5,3.4,1.6,0.7,7.7,12.7,1.3,0.9,2.2,0.095,-0.6,-1.8,-2.3,-0.1
477,62.0,1030.0,13.1,0.526,0.335,0.31,2.0,18.4,10.3,9.8,1.8,0.7,11.3,22.4,0.2,1.5,1.7,0.081,-2.7,-0.3,-3.0,-0.3
478,5.0,70.0,9.3,0.455,0.0,0.5,4.5,29.6,16.8,16.4,3.4,1.2,24.2,17.5,-0.1,0.1,0.0,-0.004,-6.5,2.7,-3.7,0.0
479,34.0,462.0,19.9,0.557,0.005,0.163,7.4,25.3,16.4,10.1,1.7,4.4,8.7,22.2,0.7,0.8,1.5,0.154,-1.8,1.4,-0.5,0.2
480,70.0,2219.0,17.5,0.577,0.301,0.153,4.8,20.1,12.6,23.9,0.9,2.9,14.3,18.4,3.8,3.8,7.6,0.164,1.1,3.0,4.1,3.4
481,44.0,463.0,5.7,0.464,0.477,0.269,2.4,12.1,7.3,7.2,1.4,1.6,17.1,16.9,-0.6,0.7,0.0,0.004,-5.3,0.3,-5.0,-0.3
482,7.0,164.0,6.6,0.411,0.644,0.244,1.3,12.6,6.8,8.6,2.1,1.1,3.9,14.4,-0.1,0.2,0.1,0.019,-3.2,0.3,-2.9,0.0
483,55.0,1838.0,16.6,0.531,0.393,0.263,5.2,21.8,13.4,11.7,1.4,1.9,9.7,24.5,1.1,1.9,3.0,0.078,0.1,-0.1,0.1,1.0
484,31.0,188.0,10.1,0.508,0.449,0.159,4.3,6.2,5.2,15.2,1.6,0.0,11.9,19.7,0.1,0.1,0.2,0.039,-0.5,-3.7,-4.1,-0.1
