DATE,CPALTT01USQ657N
1960-01-01,-0.11337868480726
1960-04-01,0.567536889897842
1960-07-01,0.225733634311521
1960-10-01,0.675675675675667
1961-01-01,0
1961-04-01,0
1961-07-01,0.559284116331084
1961-10-01,0.111234705228046
1962-01-01,0.22222222222223
1962-04-01,0.44345898004434
1962-07-01,0.441501103752776
1962-10-01,0.219780219780206
1963-01-01,0.109649122807011
1963-04-01,0.32858707557505
1963-07-01,0.545851528384267
1963-10-01,0.434310532030396
1964-01-01,0.216216216216224
1964-04-01,0.107874865156433
1964-07-01,0.431034482758615
1964-10-01,0.321888412017147
1965-01-01,0.213903743315495
1965-04-01,0.747065101387424
1965-07-01,0.423728813559317
1965-10-01,0.421940928270037
1966-01-01,0.735294117647076
1966-04-01,1.14702815432742
1966-07-01,0.927835051546396
1966-10-01,0.817160367722176
1967-01-01,0.101317122593712
1967-04-01,0.809716599190274
1967-07-01,0.903614457831329
1967-10-01,0.895522388059705
1968-01-01,1.18343195266273
1968-04-01,0.97465886939569
1968-07-01,1.35135135135136
1968-10-01,1.14285714285715
1969-01-01,1.22410546139358
1969-04-01,1.67441860465117
1969-07-01,1.46386093321134
1969-10-01,1.44274120829578
1970-01-01,1.33333333333332
1970-04-01,1.66666666666667
1970-07-01,1.1216566005177
1970-10-01,1.36518771331058
1971-01-01,0.757575757575744
1971-04-01,1.08604845446951
1971-07-01,1.07438016528926
1971-10-01,0.490596892886347
1972-01-01,0.732302685109848
1972-04-01,0.807754442649417
1972-07-01,0.961538461538466
1972-10-01,0.952380952380956
1973-01-01,1.25786163522014
1973-04-01,2.25155279503106
1973-07-01,2.20197418375095
1973-10-01,2.30312035661217
1974-01-01,2.83224400871461
1974-04-01,2.82485875706214
1974-07-01,3.02197802197801
1974-10-01,3.00000000000003
1975-01-01,1.81229773462782
1975-04-01,1.52574698029244
1975-07-01,2.12899185973701
1975-10-01,1.59411404046596
1976-01-01,0.965600482800253
1976-04-01,1.25523012552299
1976-07-01,1.59386068476977
1976-10-01,1.1621150493899
1977-01-01,1.72314761631245
1977-04-01,2.20214568040657
1977-07-01,1.43646408839779
1977-10-01,1.0893246187364
1978-01-01,1.72413793103446
1978-04-01,2.54237288135594
1978-07-01,2.37603305785124
1978-10-01,2.01816347124117
1979-01-01,2.47279920870426
1979-04-01,3.47490347490347
1979-07-01,3.31156716417911
1979-10-01,2.84424379232503
1980-01-01,3.95083406496929
1980-04-01,3.67398648648648
1980-07-01,1.83299389002036
1980-10-01,2.64
1981-01-01,2.65003897116136
1981-04-01,2.31586940015187
1981-07-01,2.82003710575138
1981-10-01,1.44352219415375
1982-01-01,0.818214158662368
1982-04-01,1.51729004940015
1982-07-01,1.87695516162669
1982-10-01,0.238826339133394
1983-01-01,-0.0680735194009623
1983-04-01,1.26021798365126
1983-07-01,1.17726202489066
1983-10-01,0.897606382978727
1984-01-01,1.12026359143327
1984-04-01,1.07526881720431
1984-07-01,1.09606705351386
1984-10-01,0.733418367346963
1985-01-01,0.633111744222854
1985-04-01,1.2268008807801
1985-07-01,0.714729645742721
1985-10-01,0.894785560012329
1986-01-01,0.214067278287479
1986-04-01,-0.213610009154732
1986-07-01,0.733944954128444
1986-10-01,0.546448087431684
1987-01-01,1.11714975845412
1987-04-01,1.31382502239476
1987-07-01,1.14942528735629
1987-10-01,0.844988344988345
1988-01-01,0.60676105171917
1988-04-01,1.26364158529581
1988-07-01,1.33295519001702
1988-10-01,1.0355443604814
1989-01-01,1.10803324099723
1989-04-01,1.64383561643836
1989-07-01,0.808625336927206
1989-10-01,0.96256684491979
1990-01-01,1.72139830508475
1990-04-01,1.01536058318146
1990-07-01,1.72680412371135
1990-10-01,1.62148467190269
1991-01-01,0.822737471952145
1991-04-01,0.593471810089004
1991-07-01,0.786627335299911
1991-10-01,0.756097560975636
1992-01-01,0.702009198741205
1992-04-01,0.817307692307689
1992-07-01,0.786838340486422
1992-10-01,0.709723207948884
1993-01-01,0.845665961945017
1993-04-01,0.768693221523423
1993-07-01,0.392972723069827
1993-10-01,0.690766751093699
1994-01-01,0.640292705236676
1994-04-01,0.636219041127031
1994-07-01,0.880559945811708
1994-10-01,0.47000895255147
1995-01-01,0.82423702383605
1995-04-01,0.883782589482967
1995-07-01,0.438020148926858
1995-10-01,0.479720889664192
1996-01-01,0.911458333333337
1996-04-01,0.989247311827955
1996-07-01,0.532367972742765
1996-10-01,0.720186401186187
1997-01-01,0.672975814931643
1997-04-01,0.396908293294327
1997-07-01,0.395339159384124
1997-10-01,0.393782383419677
1998-01-01,0.268373245251862
1998-04-01,0.535309862054774
1998-07-01,0.389105058365747
1998-10-01,0.34679722562221
1999-01-01,0.386257369384025
1999-04-01,0.97205346294045
1999-07-01,0.621740874448445
1999-10-01,0.617899142914097
2000-01-01,0.990491283676713
2000-04-01,1.05923891722244
2000-07-01,0.79580745341615
2000-10-01,0.539187367610242
2001-01-01,0.95767094426356
2001-04-01,1.04344526655283
2001-07-01,0.131430717236203
2001-10-01,-0.281267579223725
2002-01-01,0.357277171869143
2002-04-01,1.08675285741053
2002-07-01,0.426320667284522
2002-10-01,0.313768918420095
2003-01-01,1.01195952161911
2003-04-01,0.364298724954469
2003-07-01,0.490018148820322
2003-10-01,0.0180603214737247
2004-01-01,0.90285301552908
2004-04-01,1.43163922691483
2004-07-01,0.352858151023281
2004-10-01,0.597749648382558
2005-01-01,0.629150646627056
2005-04-01,1.33726988537686
2005-07-01,1.21679520137104
2005-10-01,0.507958008804608
2006-01-01,0.539083557951489
2006-04-01,1.69235924932974
