BTC_USD,ETH_USD,DASH_USD,NMC_USD,LTC_USD,PPC_USD,XRP_USD,VTC_USD,SP500,DGS1MO
0.508519537,-4.294789135,-1.197086442,0.499608713,-0.874732671,-0.267482705,-1.482459818,-0.397171706,1.812766618,0.01
-0.920554074,-2.333175018,-1.672014007,-3.679832717,-5.9816002,-1.810880619,-3.555988353,9.999470254,0.116410568,0.02
1.361828629,0.746654132,-0.929730525,2.412198552,2.548938122,-0.812286128,-1.028010048,-8.041577547,-1.5448291,0.02
5.618210852,-2.541421718,-5.024503881,13.09307893,12.06157307,22.36165962,6.270984973,-13.40988025,2.477360459,0.02
-2.257994508,-2.933726539,4.613832821,-6.753054418,-4.135704234,-6.485333538,-1.973111983,6.235886159,-1.399503853,0.02
0.129658667,-3.43499921,-2.392446719,-0.661167632,0.86630086,1.706592804,-0.195552916,-12.92361103,0.526407555,0.02
0.681174435,-17.05504126,0.170464196,-0.616104453,0.274260537,-1.681267762,9.705259403,0.179591321,0.447700155,0.04
-4.02092509,-11.56522637,-3.218047144,-7.384071351,-3.889071927,-10.94583369,-13.14357351,-13.95095713,-0.409803132,0.02
-0.147520502,7.562595969,0.627494976,-2.819055423,-0.757260573,1.494862259,4.179397923,5.526286557,1.274971991,0
-0.528085958,-4.022504128,2.157532449,-0.416224004,-0.71843243,-1.880265291,-3.882699564,-4.067830404,0.866769407,0
0.313355049,-3.69907593,-0.204133899,8.044909355,3.622173613,11.1861064,-0.729837153,-5.038465472,-0.256429054,0
1.367830792,-2.378232256,3.674316193,-1.627192871,1.725684713,-0.567158849,2.107319582,-1.694842133,-1.629627045,0
-2.560675157,7.377496309,-4.480117097,-5.718370269,-5.485305962,-2.945814784,-3.817461669,2.981415219,0.455542189,0
1.543821932,-1.894894954,4.766609269,0.428791295,1.613140639,1.633813769,-1.096090093,-11.36341042,-1.239493989,0
-0.145363761,-0.934721629,-1.525156251,0.705823979,0.732027044,2.220269835,-7.230672205,5.048735079,-0.205075429,0
1.827026927,-9.355993864,0.694310829,1.104090333,2.223529238,-1.545006984,0.627896434,-0.239841347,-0.336864178,0
0.261880321,-9.99481189,0.414857483,0.156697814,-1.275000064,1.306561178,-0.898209517,-1.783045425,-0.046588916,0
1.685943011,-23.35414444,-3.023513589,2.209550558,6.034356241,0.38002082,-5.517890214,-3.700003328,-2.600123924,0
-1.03189324,12.59830768,-1.603713442,-0.799894864,-3.403058149,-0.646489753,-12.04284082,-1.326007873,0.123212243,0
-0.265257855,11.08414076,-0.064032521,-3.809607278,1.33083723,-1.254974215,-1.063164367,-3.578483385,1.88958652,0
0.628790137,-6.7812947,-2.042371602,0.801614316,-0.261488427,1.251128177,-1.312930631,-0.37696471,0.197198186,0
-0.107823963,-1.700955583,-3.380390239,-2.392563525,-0.290900839,-2.431052313,7.426528042,1.797036682,1.42137726,0
1.293780501,-7.643008493,5.287294345,-0.602470784,0.758507023,-2.23081061,-15.84772329,-13.42854136,1.812456144,0
2.335414869,3.440071538,2.075414578,2.107165212,4.218142964,3.981437065,6.193932038,0.194806485,-0.359468697,0
-1.265377602,-6.550904095,0.65584716,-0.286335128,-2.815884,-1.109153754,0.878266395,-11.55139349,0.800356407,0
-0.27406994,2.00282683,-1.086514012,-0.539478744,0.178029039,-1.954477532,-6.613985804,5.722404034,0.877973145,0
0.669225774,4.545457226,-0.607160433,0.656848771,1.423875896,2.99825692,-0.958663232,-8.26062233,0.072486797,0.01
2.260556378,-6.833073705,-0.380773451,-0.925245044,2.282963765,-1.865490649,7.609851699,5.513448139,-0.55741227,0
0.989446827,-15.00870026,-1.660348597,-0.053384502,-1.124627364,-1.406423843,0.759607426,1.910117076,-0.472745526,0
0.920791593,7.176452426,-2.789148125,-0.996248338,-1.257482089,0.387321485,-0.351297622,-1.684003194,1.474355369,0
3.306241832,-4.622760287,3.790541804,2.413065862,0.07919858,-0.430329622,-0.018519492,-1.402126834,0.456006134,0.03
0.215853098,-9.266606873,0.07267921,-4.307959672,-1.929449484,-5.16549199,-6.802739803,-7.612174823,0.027048493,0.06
2.261684206,-11.74382756,2.969418379,1.701141636,1.453638192,1.270423539,-6.386455669,0.384098502,-0.142209387,0.08
-1.191278212,2.834153162,-5.42439971,-3.432298968,-0.565851095,1.494254828,-0.721254568,1.051018646,-0.584241027,0.01
2.869372725,23.83022507,5.277025798,2.225749204,1.276310515,-1.236497899,0.552012703,2.944741342,1.649081323,0.02
0.898428037,-5.066287851,-3.419956338,-1.572659416,-0.099898402,-2.268948474,-0.978728776,-8.09614416,1.097000579,0.01
3.134485317,30.39132495,-3.889519584,-4.172685127,-0.228769506,-0.588771043,-0.042771926,-8.321646623,-0.191494706,0.01
2.931718425,17.32334937,-6.34857741,1.70794933,-0.318764523,0.859955276,-0.557706265,0.52092686,-0.255736687,0.01
3.62001706,14.21517491,1.98184342,4.310780478,0.200800104,9.438642781,0.557706265,4.720912062,1.177038977,0.03
2.987256054,18.53792792,10.85904189,13.02862154,19.86580577,9.022091495,-0.88087539,12.15636357,-0.04497866,0.02
4.412825289,-14.74631848,6.204296004,-0.564522455,7.128811737,-0.270655541,4.328764853,1.568219496,-0.482157541,0.01
9.634197049,-5.065653497,2.873296335,12.23298154,2.50955822,2.085275809,6.345306121,4.277357866,1.180390479,0.01
11.05693929,2.353504608,2.75919145,4.567519364,9.714420025,9.124717014,4.308468514,-0.527223092,0.272435762,0.07
1.999133128,-11.96881971,-3.092517206,6.752348979,-8.158246063,0.467257844,-8.446442903,-0.490461995,-0.35516763,0.07
-6.32080206,-0.380347741,-2.803670578,-6.077686514,-6.559591263,-4.897272138,-9.337156011,-3.765995411,-0.113272933,0.04
-3.124236154,3.337362866,6.443149881,-7.792730273,-11.02711368,-7.037431968,1.235127365,-1.934556009,-0.034769107,0.04
1.533561354,7.61242286,-6.550162554,-3.6776903,-4.360608431,3.057761559,1.024981743,-8.077336816,-0.98713515,0.06
-12.13016149,-6.718408104,-4.522850671,-10.92560913,-8.650353278,-11.71856573,-4.50436469,-6.952582344,0.150950681,0.08
0.394982756,-4.223112453,5.03478801,4.400323864,5.116973983,1.13139439,3.01799736,-6.792810781,-1.732247041,0.08
-0.414582598,0.931773598,-0.408077107,-2.35440936,-1.620713937,-1.129336484,-1.419407806,-5.499172454,-1.127067406,0.03
-1.798384856,2.713226788,-9.156012027,2.568198335,-1.13914014,2.992758128,-5.580595039,-6.433670673,1.479335064,0.05
1.304522417,8.163577085,-2.211223607,-1.245189634,0.39209079,-0.740149998,0.377183879,1.059268455,-0.134027698,0.07
-0.150518126,-1.46517603,4.100790606,-0.167470749,-0.515702734,2.628887736,0.188048838,-7.957958761,1.603316381,0.07
-2.555159899,-3.878356752,-6.352516452,-1.50911303,-1.64266789,-8.207896254,-0.849057203,6.651028162,-0.112369814,0.06
-1.273441569,-3.256099688,0.77044151,-2.777653019,-0.577355483,0.00346108,0.118352608,0.4194102,0.380298798,0.05
0.317482091,2.355905725,-4.097016462,0.800925991,0.273408907,-0.357823077,1.43279568,-11.63819179,-0.123570336,0.06
-0.932999277,-5.065935577,-2.741280417,-2.055742653,-0.522148329,1.296846002,-1.078554028,0.894051193,0.122134349,0.13
2.51767365,-4.157021187,3.398882704,15.72276469,7.337451177,8.398506824,1.775739358,0.978469809,-0.012924814,0.14
8.700883545,0.509847247,0.24820522,4.276707735,6.76751805,0.733148719,-0.977430524,0.781433041,0.059344627,0.13
5.244604609,0.593662057,0.43093249,3.208712906,1.183657548,9.708846155,-1.76953708,-6.771822675,-0.46517065,0.11
-4.010493374,0.192346475,-3.881183026,-5.842306843,-5.282319014,-11.24290742,-2.677765742,-4.586696677,1.062395243,0.19
-0.914821162,-6.321642407,4.614843522,-6.664628863,-2.734356098,-1.598220232,2.009021589,1.52714271,-1.105665307,0.19
0.516216945,-1.11024277,6.757882635,1.16156563,1.048857759,0.189185331,2.11033278,2.568394667,-1.447787892,0.18
0.590153147,3.377421123,0.058627312,1.839107955,-0.465333283,0.678791457,10.92478432,-0.256357195,2.031794155,0.17
8.533495646,-3.48571798,-0.20170749,-0.423987002,8.091524485,3.498438657,15.66117581,4.469636139,-0.701410488,0.21
4.939236491,1.32904193,2.777141827,3.470934903,1.13966465,3.991197974,19.7641285,8.320412488,-0.651106231,0.23
0.48012039,-3.711167979,4.658819376,0.52195847,-0.48640929,-3.539760468,22.95290526,3.315127688,-0.776904139,0.19
-0.500332214,5.910095572,-2.955173727,0.481401716,-0.138825036,-0.522351514,-0.931230478,-5.822182575,0.224886371,0.19
8.411289545,10.10554518,9.858068268,2.451905317,4.600842763,3.855488743,-0.035532011,28.62446079,-1.961387485,0.15
-1.731057261,6.582419803,-0.15537424,-1.314575728,-5.957461317,2.905068984,-10.31121865,-16.31507881,0.474431462,0.13
4.649311722,2.105328165,-0.148909569,0.535614433,5.887579011,0.832436192,-13.02719962,1.341726457,1.05625344,0.21
-2.257518841,-2.290792549,0.071131826,-0.571522448,-3.580777457,1.92029431,1.056633709,-7.81631753,1.44106194,0.2
0.251152139,-5.22728495,-2.844929595,-4.044024647,1.104472571,-2.97033939,-0.907133369,1.165402466,-1.515475083,0.18
1.639276365,-2.211367398,1.428048695,11.86565853,0.452448318,0.142161226,-4.694696459,-4.3108671,-1.795751218,0.16
-5.537984901,-2.126058886,-6.883423595,-15.98844593,-8.27202133,-5.197434675,-1.864781714,-12.37189727,0.774831899,0.14
-0.472347913,-4.144452364,3.111138704,0.195857919,-1.138679403,-5.122349018,-1.219724858,1.437122065,0.877812204,0.19
1.326342337,-0.711273688,-0.810654546,1.427332234,4.532043819,3.729611391,-2.816624947,-1.968461958,1.234156324,0.19
2.804770637,0.602440747,9.06653175,3.545837659,1.825846603,1.741126844,-0.833892672,3.827733317,-0.159989174,0.15
-7.459820581,-2.137571861,7.306631211,2.683610573,-5.007218121,-2.676117563,5.996431602,2.099997084,-0.218094119,0.13
2.503225684,3.265492531,3.524463353,-4.382050193,0.982747136,1.311477522,-1.205975376,-3.255584619,1.057361249,0.18
-1.480479439,4.359647242,13.00847658,-1.153531955,-1.181726293,1.739768876,-1.317714023,0.450452418,-0.724339916,0.08
0.92092366,2.339205446,-7.127917411,-0.404481247,0.60611252,-1.360438204,-2.323785643,6.322282799,-0.945640431,0.14
0.584496305,2.218071355,1.379772002,0.785490919,0.436379333,-0.42198977,-1.366910639,-3.899093529,-1.542208745,0.17
-0.261490389,-0.451945037,0.203766824,-5.543590155,-0.738543472,-3.360861734,1.43311439,-7.01168942,0.201024049,0.2
-0.663130175,0.071963174,1.549091636,-0.706529183,-0.465388903,-1.063903111,-0.680671345,-8.631539154,-1.320218728,0.21
6.527232135,-0.93563032,0.121899127,5.181747025,4.267758066,5.364692485,0.59791366,1.763352526,-2.398579402,0.2
-1.057424403,4.644566564,-2.296856996,-1.467318827,-0.98313529,-2.288958428,-1.770850526,-2.629295005,-1.089757028,0.2
-1.06515935,7.307622923,-4.819895088,2.060473756,-0.344122118,2.014077239,-0.642542362,4.887660706,0.085290069,0.19
-2.881716675,7.212792365,-3.85426316,-0.193545124,-1.785500062,3.076133659,-0.697935933,31.27236786,0.777250926,0.22
-0.764696582,-1.394427217,2.195230041,1.618855797,-0.506763279,3.108127547,-1.030228763,-13.44026396,-2.528236287,0.22
-0.478743813,5.56478637,9.275160283,5.184062919,-0.288966393,0.966141743,-4.681591894,11.88691044,1.655809422,0.22
-16.64338053,1.536565225,-1.247625669,-22.15651267,-14.54599736,-21.10839699,-5.578690418,-21.6748295,-2.183576711,0.19
4.250046878,12.68504701,14.22281578,4.836517973,0.687046475,6.571522814,0.800001499,-4.475958764,0.053168018,0.21
10.02389601,11.06317962,21.00768625,9.127260538,11.59873872,6.709810439,2.065420231,6.898615074,-1.176276575,0.26
-2.400624265,1.409891971,7.490550405,-3.153593788,-5.077266985,-2.927028857,-1.271759231,-1.594173278,0.518197023,0.27
-7.008821443,-3.424407535,-0.390408368,-6.392117468,-4.580818276,-3.995708062,-3.817483797,-6.280354777,2.008070885,0.26
2.385489995,50.96872204,-24.35722284,2.994096081,1.634826503,1.263289816,0.409804313,12.78905564,-1.576150896,0.25
0.108945891,-9.341658388,11.74472184,1.380951884,0.876781493,6.25767121,5.383142039,69.01537994,1.404521185,0.29
0.716272963,4.810441504,-7.40206476,6.402263474,4.118078003,9.980398291,18.28135495,87.76546659,-1.09228938,0.28
-3.788334415,5.614447172,0.669854119,-4.305047823,-5.22278956,-6.258438116,-4.399079806,-59.70697032,0.551333252,0.26
-0.214541312,-1.255825211,3.848280484,-1.455925212,-0.281792562,-0.071992977,9.405366364,-35.97565343,2.445864829,0.22
-1.705753895,-12.05158188,-6.339756766,-1.419138496,-1.103330172,-5.410371891,-4.454479394,-6.939719415,-0.04433424,0.19
0.372439453,9.809359982,-0.355963034,-0.903763031,-0.044528805,-0.680323571,3.39626723,1.551702174,-1.89209816,0.26
-1.208776414,3.585091556,1.722295753,-0.939661345,-0.925639472,-0.990343974,1.684900723,-1.019645687,0.49796201,0.27
5.173998404,1.932795401,2.784126741,4.612423389,3.71168309,2.76384077,1.256061614,12.60608992,0.15256091,0.24
-0.784648837,-1.52630032,-0.425382205,-0.778324384,-0.805064127,-0.978597254,4.104003385,15.67189341,-1.865420974,0.23
-3.448259845,22.50487908,-2.709879973,-2.140485432,-2.42770408,-1.528283315,9.566066138,-16.51933444,-1.425500034,0.21
0.689017662,24.05774005,-4.65836892,-0.709227699,0.631212492,-0.230624088,-2.227099661,3.130335587,-0.066385117,0.27
1.48350575,9.241916582,-3.479972092,0.618635101,0.443596405,0.799670977,0.485075687,-2.627459007,-0.018898131,0.27
-0.524101374,30.41287176,-16.25465712,-2.871768147,-0.636215706,-1.052089502,-0.485075687,0.142561553,-1.237743121,0.27
1.20669255,-8.06868288,15.0627408,3.187615962,1.171736173,7.591177774,2.076816711,5.431029324,1.932997547,0.26
5.868428531,-25.10890945,-8.495766668,1.967225455,3.07385949,2.574511862,5.747167179,28.40738554,1.638177664,0.23
2.144747704,-13.84798632,5.435705445,2.028323902,0.99287309,0.593735483,-3.774030679,-13.63107156,1.634611532,0.28
1.442979876,15.77221035,-4.091455393,-1.273412539,0.320373655,-1.335062751,-1.77280938,1.019808819,-0.467663709,0.28
-0.376675327,7.418507568,-0.573650395,0.205675064,0.041817146,1.055036525,3.07905578,-4.354495627,-0.002607147,0.26
3.952134689,17.01168368,17.8835419,4.867630162,6.856175523,8.591608758,-2.393478965,-6.501480935,1.435074638,0.28
-3.963782938,-0.540765609,-10.04239411,-3.947077529,-2.520276045,-6.492805857,-0.998767469,-10.13248943,-1.253258774,0.28
0.997770875,11.01133325,5.763630706,0.191655711,-0.651525306,2.817969327,1.321225045,9.258702711,0.44299449,0.28
-0.096758268,-2.133896912,-2.734930826,0.62148737,-0.277434016,0.69329902,-0.608580074,-4.535352414,1.128441705,0.27
1.776173017,-3.045688678,1.382359464,0.090234802,1.511903309,-0.118899644,0.385452785,-3.647217599,-0.187191541,0.26
1.274947267,6.778537635,-1.155141304,-0.28356063,0.854454528,-2.154462538,-1.689556439,-9.225114851,-0.815409592,0.23
-0.589815233,18.87839931,-0.515945757,0.340507247,-0.382027219,-1.584878899,1.042138902,-0.313840289,2.358838763,0.29
-2.592117345,10.07982445,-0.43208255,-2.656400465,-1.999187189,-1.410581497,0.299329016,-1.416996734,0.40859621,0.28
-0.552958378,9.339909706,19.26298358,1.845890705,-1.240645885,6.431773898,1.630471778,0,0.349259749,0.25
-2.573318627,11.29973682,-1.602097684,-1.22349096,-2.230167285,-2.670939166,-0.811912878,8.873042945,0.3300457,0.25
0.819629677,-8.556602238,-7.431738798,14.86971766,0.537589646,-0.94051631,-2.223145811,-4.564492573,0.088461304,0.27
-0.084276835,3.037160558,6.673917696,13.74894632,-0.414906394,4.505925365,0.39074862,-3.113830958,-1.130375611,0.27
0.214277649,18.91821396,-0.59484598,12.13904172,0.784507318,10.13241865,1.337097708,3.761257098,0.503967281,0.27
0.545927122,-5.112516616,7.242019615,-7.529718144,0.234490666,-4.205056503,1.649681043,1.139665592,0.01558247,0.27
1.08701029,-1.985078373,4.74366806,-5.990963021,2.912269568,-1.623364107,7.217859287,3.839172422,1.626254757,0.27
-1.253288988,11.65350494,7.231740879,-7.277109815,-2.427673802,0.391154962,-3.750001672,-0.948372739,-0.126180484,0.28
0.094086976,4.378891178,5.32640585,-3.912929352,0.06838757,-2.416419347,-3.516709964,5.843864148,-0.183865032,0.29
0.043413496,-3.83190802,7.987356534,-1.693724876,0.109147142,-3.351082945,-0.097776353,-0.13097761,0.558476898,0.28
0.861962836,-12.21221739,-5.719933874,-0.666605318,-0.060455191,0.650278629,1.324030286,10.21990482,0.657358537,0.29
-2.667807324,-0.75544999,-0.433164179,-5.084843892,-4.248768396,-4.630010714,-2.048095728,12.85218117,0.439591238,0.27
0.913655209,7.579451598,0.935044635,-2.787382724,0.976350587,-2.299609448,-0.890771071,12.22226871,0.098508242,0.26
1.150362806,-5.094689858,1.310015219,11.82686491,1.050719538,3.896925975,0.779854782,-4.863516968,-0.087774912,0.28
-0.011482461,9.647219643,7.965918322,1.121997321,0.249478499,-0.282967487,2.700569108,-1.539292457,-0.640646653,0.27
-0.39475209,-10.00084949,1.07692234,-3.616261628,-0.559723869,-0.569636111,-1.231754633,-9.277878215,-0.037813218,0.24
1.864613153,3.761044982,5.833513671,-3.237230636,1.213191093,0.142502915,-8.438585925,15.03861611,0.054505414,0.19
-1.835323371,-0.078896294,0.178346748,-3.380430485,-1.162654423,-2.056444138,0.026437743,-7.065141776,0.877803127,0.18
-0.408978376,2.511855918,-4.270175935,0.550440213,-0.214718618,-0.736866848,-3.141618576,0.466396864,0.43409084,0.14
0.460106844,-4.705363011,1.466278358,0.017905959,1.162994292,-1.477803956,0.801474316,-2.523146772,-0.204186128,0.18
0.294957391,2.255258734,2.682727912,-1.786571154,-0.527015848,-0.591540458,0.364643151,-0.157503522,0.631094019,0.2
0.830119664,-4.437888659,-1.53502517,0.622261156,0.327866521,1.665072668,0.979280167,-4.959893806,-0.321340919,0.18
